"Map","stateName","HotelRating","Latitude","Longitude"
"25.775743, -80.132652","Florida",3,25.775743,-80.132652
"25.776161, -80.132365","Florida",4,25.776161,-80.132365
"25.77618, -80.23365","Florida",3,25.77618,-80.23365
"25.77621, -80.187926","Florida",3,25.77621,-80.187926
"25.77629, -80.18899","Florida",2,25.77629,-80.18899
"25.776367, -80.13187","Florida",4,25.776367,-80.13187
"25.77648, -80.19215","Florida",2,25.77648,-80.19215
"25.77651, -80.18969","Florida",4,25.77651,-80.18969
"25.77655, -80.13417","Florida",4,25.77655,-80.13417
"25.776581, -80.131419","Florida",3,25.776581,-80.131419
"25.77663, -80.19011","Florida",4,25.77663,-80.19011
"25.776829, -80.31041","Florida",4,25.776829,-80.31041
"25.77686, -80.13135","Florida",3,25.77686,-80.13135
"25.77689, -80.18839","Florida",3,25.77689,-80.18839
"25.776947, -80.188335","Florida",4,25.776947,-80.188335
"25.77716, -80.131645","Florida",4,25.77716,-80.131645
"25.77716, -80.15756","Florida",4,25.77716,-80.15756
"25.777226, -80.139539","Florida",3,25.777226,-80.139539
"25.77725, -80.13941","Florida",3,25.77725,-80.13941
"25.77737999, -80.139648438","Florida",3,25.77737999,-80.139648438
"25.777398, -80.13123","Florida",3,25.777398,-80.13123
"25.777418917, -80.138264447","Florida",3,25.777418917,-80.138264447
"25.77745, -80.305","Florida",3,25.77745,-80.305
"25.77746, -80.30538","Florida",3,25.77746,-80.30538
"25.777604, -80.133584","Florida",3,25.777604,-80.133584
"25.777607, -80.131545","Florida",2,25.777607,-80.131545
"25.77766, -80.13118","Florida",2,25.77766,-80.13118
"25.7777856, -80.189686","Florida",4,25.7777856,-80.189686
"25.777842, -80.188484","Florida",3,25.777842,-80.188484
"25.77785, -80.3034","Florida",2,25.77785,-80.3034
"25.77793, -80.13258","Florida",3,25.77793,-80.13258
"25.777937, -80.132584","Florida",3,25.777937,-80.132584
"25.777987, -80.137307","Florida",3,25.777987,-80.137307
"25.77817, -80.13388","Florida",2,25.77817,-80.13388
"25.778203, -80.132135","Florida",4,25.778203,-80.132135
"25.77845, -80.14052","Florida",3,25.77845,-80.14052
"25.778459, -80.132331","Florida",3,25.778459,-80.132331
"25.77847, -80.14105","Florida",1,25.77847,-80.14105
"25.7785, -80.20097","Florida",3,25.7785,-80.20097
"25.778509, -80.131163","Florida",4,25.778509,-80.131163
"25.77856, -80.13126","Florida",3,25.77856,-80.13126
"25.77858, -80.14055","Florida",3,25.77858,-80.14055
"25.778625, -80.132313","Florida",3,25.778625,-80.132313
"25.778746, -80.131299000000013","Florida",3,25.778746,-80.13129900000001
"25.778784, -80.132942","Florida",4,25.778784,-80.132942
"25.7789, -80.131","Florida",3,25.7789,-80.131
"25.778915, -80.28819","Florida",2,25.778915,-80.28819
"25.778946, -80.132047","Florida",2,25.778946,-80.132047
"25.779015, -80.132343","Florida",2,25.779015,-80.132343
"25.77902, -80.131685","Florida",3,25.77902,-80.131685
"25.779032, -80.189091","Florida",4,25.779032,-80.189091
"25.779043, -80.131049","Florida",2,25.779043,-80.131049
"25.77927017, -80.13227844","Florida",3,25.77927017,-80.13227844
"25.77942, -80.131916","Florida",2,25.77942,-80.131916
"25.77951, -80.13277","Florida",1,25.77951,-80.13277
"25.77966, -80.13204","Florida",2,25.77966,-80.13204
"25.779785, -80.13191","Florida",2,25.779785,-80.13191
"25.77979, -80.13092","Florida",1,25.77979,-80.13092
"25.779887, -80.130707","Florida",3,25.779887,-80.130707
"25.78, -80.1318","Florida",3,25.78,-80.1318
"25.780086, -80.131848","Florida",4,25.780086,-80.131848
"25.780195, -80.132631","Florida",4,25.780195,-80.132631
"25.780260086, -80.130989075","Florida",4,25.780260086,-80.130989075
"25.780306, -80.133236","Florida",3,25.780306,-80.133236
"25.780479, -80.133988","Florida",3,25.780479,-80.133988
"25.780484, -80.131752","Florida",3,25.780484,-80.131752
"25.780538, -80.133087","Florida",4,25.780538,-80.133087
"25.78059, -80.13271","Florida",3,25.78059,-80.13271
"25.780669, -80.131653","Florida",4,25.780669,-80.131653
"25.78069, -80.288299","Florida",2,25.78069,-80.288299
"25.78073, -80.13179","Florida",3,25.78073,-80.13179
"25.780756, -80.264329","Florida",3,25.780756,-80.264329
"25.780758, -80.130514","Florida",4,25.780758,-80.130514
"25.780762, -80.192432","Arizona",3,25.780762,-80.192432
"25.781002, -80.137351","Florida",3,25.781002,-80.137351
"25.78109, -80.135117","Florida",3,25.78109,-80.135117
"25.78117, -80.31304","Florida",2,25.78117,-80.31304
"25.78119, -80.13068","Florida",3.333333333333334,25.78119,-80.13068
"25.781245, -80.13076","Florida",3,25.781245,-80.13076
"25.781257, -80.138534","Florida",3,25.781257,-80.138534
"25.78132, -80.13057","Florida",3,25.78132,-80.13057
"25.78149, -80.13439","Florida",3,25.78149,-80.13439
"25.781534, -80.28648","Florida",3,25.781534,-80.28648
"25.78157, -80.131","Florida",4,25.78157,-80.131
"25.781664, -80.29005","Florida",3,25.781664,-80.29005
"25.781706, -80.142136","Florida",4,25.781706,-80.142136
"25.78175, -80.16458","Florida",4,25.78175,-80.16458
"25.781759, -80.132659","Florida",4,25.781759,-80.132659
"25.781822, -80.291664","Florida",4,25.781822,-80.291664
"25.781855, -80.26494","Florida",3,25.781855,-80.26494
"25.78188, -80.1305","Florida",4,25.78188,-80.1305
"25.781906, -80.131212","Florida",4,25.781906,-80.131212
"25.78195, -80.13151","Florida",3,25.78195,-80.13151
"25.782001, -80.284615","Florida",3,25.782001,-80.284615
"25.782156, -80.27876","Florida",4,25.782156,-80.27876
"25.78219, -80.131668","Florida",4,25.78219,-80.131668
"25.7822, -80.13131","Florida",4,25.7822,-80.13131
"25.78232, -80.15906","Florida",3,25.78232,-80.15906
"25.782362, -80.131008","Florida",3,25.782362,-80.131008
"25.782379, -80.131271","Florida",3,25.782379,-80.131271
"25.782385, -80.130166","Florida",4,25.782385,-80.130166
"25.78241, -80.26492","Florida",2,25.78241,-80.26492
"25.78246, -80.2631","Florida",2,25.78246,-80.2631
"25.782656, -80.131326","Florida",3,25.782656,-80.131326
"25.78274, -80.16137","Florida",4,25.78274,-80.16137
"25.78286, -80.13043","Florida",3,25.78286,-80.13043
"25.782937, -80.131178","Florida",4,25.782937,-80.131178
"25.78294, -80.14188","Florida",3,25.78294,-80.14188
"25.782957, -80.26243","Florida",3,25.782957,-80.26243
"25.783051, -80.130292","Florida",5,25.783051,-80.130292
"25.783074, -80.162209","Florida",3,25.783074,-80.162209
"25.783257, -80.130025","Florida",3,25.783257,-80.130025
"25.783365, -80.26399","Florida",3,25.783365,-80.26399
"25.78337, -80.131098","Florida",3,25.78337,-80.131098
"25.783434, -80.26399","Florida",3,25.783434,-80.26399
"25.7835, -80.13108","Florida",3,25.7835,-80.13108
"25.78351, -80.31939","Florida",3,25.78351,-80.31939
"25.783549, -80.130044","Florida",4,25.783549,-80.130044
"25.7836, -80.14214","Florida",3,25.7836,-80.14214
"25.783695, -80.14223","Florida",3,25.783695,-80.14223
"25.7838, -80.1418","Florida",3,25.7838,-80.1418
"25.783920288, -80.212402344","Florida",3,25.783920288,-80.212402344
"25.783943, -80.328985","Florida",2,25.783943,-80.328985
"25.7841284386606, -80.1300077070482","Florida",3,25.7841284386606,-80.1300077070482
"25.784248, -80.227296","Florida",3,25.784248,-80.227296
"25.784267, -80.141964","Florida",3,25.784267,-80.141964
"25.784323, -80.129848","Florida",3,25.784323,-80.129848
"25.78453, -80.16184","Florida",5,25.78453,-80.16184
"25.78461, -80.13015","Florida",3,25.78461,-80.13015
"25.784651, -80.129844","Florida",4,25.784651,-80.129844
"25.784655, -80.13123","Florida",3,25.784655,-80.13123
"25.78469, -80.2271","Florida",3,25.78469,-80.2271
"25.784695, -80.37744","Florida",3,25.784695,-80.37744
"25.784738, -80.134444","Florida",3,25.784738,-80.134444
"25.78476, -80.22718","Florida",3,25.78476,-80.22718
"25.78486, -80.130936","Florida",3,25.78486,-80.130936
"25.78486, -80.13235","Florida",3,25.78486,-80.13235
"25.784867, -80.130876","Florida",2,25.784867,-80.130876
"25.78499, -80.13057","Florida",3,25.78499,-80.13057
"25.785, -80.1901","Florida",4,25.785,-80.1901
"25.78503, -80.13099","Florida",4,25.78503,-80.13099
"25.785135, -80.262314","Florida",3,25.785135,-80.262314
"25.7852, -80.13268","Florida",3,25.7852,-80.13268
"25.785255, -80.1297","Florida",4,25.785255,-80.1297
"25.78533, -80.13079","Florida",3,25.78533,-80.13079
"25.78533, -80.14257","Florida",3,25.78533,-80.14257
"25.785425, -80.130514","Florida",3,25.785425,-80.130514
"25.78543, -80.14244","Florida",3,25.78543,-80.14244
"25.785463, -80.12968","Florida",3,25.785463,-80.12968
"25.78558, -80.13637","Florida",3,25.78558,-80.13637
"25.785685, -80.130722","Florida",3,25.785685,-80.130722
"25.785825, -80.131045","Florida",3,25.785825,-80.131045
"25.785829, -80.12961","Florida",3,25.785829,-80.12961
"25.7859, -80.13067","Florida",2,25.7859,-80.13067
"25.78598, -80.129728","Florida",3,25.78598,-80.129728
"25.786039, -80.130666","Florida",3,25.786039,-80.130666
"25.786088, -80.130667","Florida",3,25.786088,-80.130667
"25.786197, -80.130689","Florida",3,25.786197,-80.130689
"25.786244, -80.130658","Florida",3,25.786244,-80.130658
"25.786253213882446, -80.129600912332535","Florida",4,25.786253213882446,-80.12960091233253
"25.7863, -80.13986","Florida",3,25.7863,-80.13986
"25.786343, -80.138992","Florida",1,25.786343,-80.138992
"25.78637, -80.13063","Florida",2,25.78637,-80.13063
"25.786477, -80.129519","Florida",4,25.786477,-80.129519
"25.786521, -80.207412","Florida",2,25.786521,-80.207412
"25.7865653165327, -80.1306433905847","Florida",3,25.7865653165327,-80.1306433905847
